dataset,scene,ablate_mode,backend,condition,mAP,AP50,dmAP_pct,dAP50_pct,dominant
FLIR,day,mean,mlp,full,0.4713,0.856,,,
FLIR,day,mean,mlp,no_thermal,0.2170,0.531,-54.0,-38.0,
FLIR,day,mean,mlp,no_rgb,0.4187,0.800,-11.2,-6.5,
FLIR,day,mean,mlp,_dominant,,,,,THERMAL
FLIR,night,mean,mlp,full,0.4609,0.834,,,
FLIR,night,mean,mlp,no_thermal,0.0557,0.173,-87.9,-79.3,
FLIR,night,mean,mlp,no_rgb,0.3979,0.805,-13.7,-3.5,
FLIR,night,mean,mlp,_dominant,,,,,THERMAL
FLIR,full,mean,mlp,full,0.4672,0.8517,,,
FLIR,full,mean,mlp,no_thermal,0.1803,0.4851,-61.4,-43.0,
FLIR,full,mean,mlp,no_rgb,0.4221,0.8079,-9.6,-5.1,
FLIR,full,mean,mlp,_dominant,,,,,THERMAL
FLIR,night,zero,mlp,full,0.4609,0.834,,,
FLIR,night,zero,mlp,no_thermal,0.0113,0.042,-97.5,-95.0,
FLIR,night,zero,mlp,no_rgb,0.4114,0.779,-10.7,-6.6,
FLIR,night,zero,mlp,_dominant,,,,,THERMAL
M3FD,day,mean,mlp,full,0.4805,0.7588,,,
M3FD,day,mean,mlp,no_thermal,0.4129,0.6484,-14.1,-14.6,
M3FD,day,mean,mlp,no_rgb,0.3160,0.5136,-34.2,-32.3,
M3FD,day,mean,mlp,_dominant,,,,,RGB
M3FD,night,mean,mlp,full,0.6747,0.9237,,,
M3FD,night,mean,mlp,no_thermal,0.5615,0.8402,-16.8,-9.0,
M3FD,night,mean,mlp,no_rgb,0.4820,0.7576,-28.6,-18.0,
M3FD,night,mean,mlp,_dominant,,,,,RGB
M3FD,full,mean,mlp,full,0.5257,0.8020,,,
M3FD,full,mean,mlp,no_thermal,0.4361,0.6983,-17.1,-12.9,
M3FD,full,mean,mlp,no_rgb,0.3845,0.6022,-26.9,-24.9,
M3FD,full,mean,mlp,_dominant,,,,,RGB
