label,level,T,RGB,t_ratio,dominant
day,0,0.5825942754745483,0.4684891700744629,0.5542797557521117,THERMAL
day,1,0.43292155861854553,0.3153156638145447,0.5785886422626886,THERMAL
day,2,0.3277098834514618,0.2310856282711029,0.5864576156681434,THERMAL
day,3,0.26382213830947876,0.21419954299926758,0.5519041261614418,THERMAL
day,4,0.13770700991153717,0.14041541516780853,0.4951309117621693,RGB
night,0,0.6277245879173279,0.4615660011768341,0.5762691739022165,THERMAL
night,1,0.43493735790252686,0.324395090341568,0.5727891108930185,THERMAL
night,2,0.3351387083530426,0.20266664028167725,0.6231598648157874,THERMAL
night,3,0.2136395275592804,0.1386699080467224,0.6063974051424297,THERMAL
night,4,0.06568391621112823,0.06553062051534653,0.5005841414320583,THERMAL
full,0,0.6429517865180969,0.4076448976993561,0.6119872603599483,THERMAL
full,1,0.4061795771121979,0.26905715465545654,0.6015365545181282,THERMAL
full,2,0.28738656640052795,0.17322862148284912,0.623918997809224,THERMAL
full,3,0.2130236029624939,0.18521572649478912,0.534913523614721,THERMAL
full,4,0.15273067355155945,0.1592227816581726,0.4895944282725967,RGB
