label,level,T,RGB,t_ratio,dominant
day,0,0.5883482098579407,0.38710251450538635,0.6031552339472096,THERMAL
day,1,0.3961750566959381,0.27897706627845764,0.5867937657516271,THERMAL
day,2,0.29702919721603394,0.17549042403697968,0.62860711779069,THERMAL
day,3,0.19400426745414734,0.14317916333675385,0.5753671436301405,THERMAL
day,4,0.09902659058570862,0.11019272357225418,0.4733147653398251,RGB
night,0,0.6035708785057068,0.40244781970977783,0.5999599009200768,THERMAL
night,1,0.4488871395587921,0.293180376291275,0.6049141486054265,THERMAL
night,2,0.31864047050476074,0.15561771392822266,0.6718713160112378,THERMAL
night,3,0.21091094613075256,0.12278640270233154,0.6320426184614925,THERMAL
night,4,0.05349770933389664,0.05067325383424759,0.5135568272228745,THERMAL
full,0,0.6486023664474487,0.39227479696273804,0.6231305568486429,THERMAL
full,1,0.3839147090911865,0.2283077985048294,0.6270836245437276,THERMAL
full,2,0.274934321641922,0.1553272008895874,0.6389935126517122,THERMAL
full,3,0.17783218622207642,0.11971836537122726,0.5976536936975413,THERMAL
full,4,0.10360942780971527,0.11799953877925873,0.46753265178757775,RGB
