label,level,T,RGB,t_ratio,dominant
day,0,0.34069427847862244,0.42849040031433105,0.4429291012566911,RGB
day,1,0.24402791261672974,0.3409424126148224,0.41716289201459517,RGB
day,2,0.20224237442016602,0.27030304074287415,0.4279850527170162,RGB
day,3,0.15724524855613708,0.1496335119009018,0.5124018629423461,THERMAL
day,4,0.1808505803346634,0.17432644963264465,0.5091843364724359,THERMAL
night,0,0.37041279673576355,0.4206070303916931,0.4682724554205275,RGB
night,1,0.30405187606811523,0.3987967073917389,0.4325994008139731,RGB
night,2,0.2777063548564911,0.33177855610847473,0.4556410665136195,RGB
night,3,0.2096998691558838,0.20912346243858337,0.5006881263205952,THERMAL
night,4,0.166629821062088,0.14979027211666107,0.526609481046548,THERMAL
full,0,0.33451977372169495,0.40454399585723877,0.4526264004415046,RGB
full,1,0.2356606274843216,0.35680505633354187,0.39776249312081835,RGB
full,2,0.20223909616470337,0.268462598323822,0.4296544893130905,RGB
full,3,0.17863331735134125,0.15833202004432678,0.5301237175652228,THERMAL
full,4,0.17186175286769867,0.16634319722652435,0.5081585967896398,THERMAL
