label,level,T,RGB,t_ratio,dominant
clear_day,0,0.22281047701835632,0.3492351472377777,0.3894977385898213,RGB
clear_day,1,0.214511901140213,0.351265013217926,0.3791457298733949,RGB
clear_day,2,0.19906944036483765,0.2921437621116638,0.4052607693783545,RGB
clear_day,3,0.14957499504089355,0.24230283498764038,0.3816878209967143,RGB
clear_day,4,0.1397976130247116,0.1824934482574463,0.4337619928648548,RGB
clear_night,0,0.26443976163864136,0.3538516163825989,0.4276944027337372,RGB
clear_night,1,0.25957873463630676,0.3544040024280548,0.42277855543139364,RGB
clear_night,2,0.2206881046295166,0.3203256130218506,0.40791591308840264,RGB
clear_night,3,0.19417335093021393,0.25667068362236023,0.4306885220794469,RGB
clear_night,4,0.16100303828716278,0.19997826218605042,0.44601489904229563,RGB
clear,0,0.2264302521944046,0.3523617088794708,0.3912118125723458,RGB
clear,1,0.20919589698314667,0.33985063433647156,0.381016699040005,RGB
clear,2,0.1882055550813675,0.30246666073799133,0.3835667661897365,RGB
clear,3,0.15496648848056793,0.24041230976581573,0.3919443560643515,RGB
clear,4,0.12831436097621918,0.17058083415031433,0.4292954957722543,RGB
