fusion_type,dataset,model,parameters,Pascal mAP@0.5IOU,Pascal AP@0.5IOU/person,Pascal AP@0.5IOU/bike,Pascal AP@0.5IOU/car,COCO AP@[0.50:0.95],COCO AP@0.50,COCO AP@0.75,COCO AP_small,COCO AP_medium,COCO AP_large,COCO AR@1,COCO AR@10,COCO AR@100,COCO AR_small,COCO AR_medium,COCO AR_large,COCO mAP
agnostic,flir_aligned_full,mlp,8464,0.854733812859223,0.8808776140201776,0.7765074716919513,0.90681635286554,0.467,0.852,0.432,0.331,0.532,0.602,0.223,0.554,0.582,0.486,0.629,0.717,0.46724350194233355
agnostic,flir_aligned_full,FastKAN_32_3,17182,0.8635969466136024,0.8925231429863243,0.7888046666910795,0.9094630301634034,0.478,0.861,0.452,0.336,0.544,0.609,0.225,0.561,0.587,0.486,0.640,0.716,0.47799065715263267
agnostic,flir_aligned_full,FastKAN_32_2,13084,0.8608024811399538,0.8916127949758192,0.7839271296443378,0.9068675187997044,0.484,0.858,0.460,0.341,0.549,0.645,0.229,0.568,0.592,0.493,0.642,0.733,0.48408678119857623
agnostic,flir_aligned_full,FastKAN_64_3,8978,0.8595416871042175,0.8907524975363905,0.7790689945286822,0.9088035692475795,0.479,0.856,0.448,0.347,0.539,0.619,0.226,0.565,0.591,0.499,0.634,0.745,0.479077450521205
agnostic,flir_aligned_full,FastKAN_64_2,6928,0.8631607366145643,0.8924564111148551,0.7883796135903596,0.9086461851384786,0.478,0.860,0.454,0.340,0.537,0.626,0.222,0.562,0.588,0.492,0.635,0.742,0.4780273170876696
agnostic,flir_aligned_full,EfficientKAN_32_3,32768,0.8679856675273081,0.8923716819013136,0.8004673492070657,0.9111179714735449,0.481,0.865,0.456,0.341,0.542,0.635,0.226,0.561,0.587,0.492,0.632,0.733,0.48144613910682704
agnostic,flir_aligned_full,EfficientKAN_32_2,28672,0.8573147986211499,0.8942900632313346,0.7665416801171654,0.9111126525149499,0.480,0.854,0.459,0.338,0.547,0.622,0.227,0.562,0.588,0.482,0.642,0.749,0.47959152210507644
agnostic,flir_aligned_full,EfficientKAN_64_3,16384,0.8546179858881328,0.893941411485672,0.7593085388406854,0.9106040073380408,0.479,0.851,0.456,0.343,0.542,0.629,0.223,0.563,0.588,0.490,0.637,0.735,0.47898619985433083
agnostic,flir_aligned_full,EfficientKAN_64_2,14336,0.8660881957190997,0.8928738477848637,0.7960968453818522,0.9092938939905831,0.482,0.863,0.452,0.348,0.544,0.605,0.224,0.565,0.590,0.495,0.640,0.701,0.48192642810398273
agnostic,flir_aligned_full,EfficientKAN_dual_32_3,16384,0.8687895538504655,0.8924640523334153,0.8014107872879188,0.9124938219300622,0.487,0.865,0.463,0.347,0.549,0.633,0.230,0.567,0.594,0.495,0.642,0.747,0.4870810765999054
agnostic,flir_aligned_full,EfficientKAN_dual_32_2,14336,0.8608234679191572,0.889930616778861,0.7804987608157486,0.9120410261628622,0.481,0.858,0.454,0.343,0.547,0.628,0.227,0.566,0.590,0.485,0.646,0.726,0.48136921956098916
agnostic,flir_aligned_full,EfficientKAN_dual_64_3,8192,0.8600511113889034,0.8929960104350625,0.7764379763899951,0.9107193473416526,0.480,0.857,0.448,0.342,0.546,0.602,0.226,0.564,0.588,0.491,0.639,0.710,0.4802767118055063
agnostic,flir_aligned_full,EfficientKAN_dual_64_2,7168,0.8636264395168384,0.8936043428907035,0.7861349736981318,0.9111400019616795,0.480,0.860,0.459,0.341,0.545,0.618,0.224,0.562,0.587,0.490,0.638,0.707,0.48001473642804
agnostic,flir_aligned_full,WavKAN_32,16912,0.8585307293905181,0.8912625993476978,0.7762013132570778,0.908128275566779,0.474,0.856,0.446,0.332,0.543,0.594,0.221,0.558,0.584,0.487,0.634,0.719,0.4742255397788167
agnostic,flir_aligned_full,WavKAN_64,8712,0.8685895841333221,0.8955808914507211,0.7979716895690583,0.9122161713801867,0.479,0.865,0.455,0.342,0.537,0.622,0.221,0.559,0.583,0.489,0.631,0.714,0.4788396671638027
adaptive,flir_aligned_full,mlp,8464,0.8634807825057561,0.8886703841794794,0.7923856465700636,0.9093863167677252,0.470,0.860,0.429,0.330,0.530,0.640,0.222,0.554,0.579,0.487,0.621,0.725,0.46977418370361057
