fusion_type,dataset,model,parameters,Pascal mAP@0.5IOU,Pascal AP@0.5IOU/people,Pascal AP@0.5IOU/car,Pascal AP@0.5IOU/motorcycle,Pascal AP@0.5IOU/bus,Pascal AP@0.5IOU/truck,Pascal AP@0.5IOU/lamp,COCO AP@[0.50:0.95],COCO AP@0.50,COCO AP@0.75,COCO AP_small,COCO AP_medium,COCO AP_large,COCO AR@1,COCO AR@10,COCO AR@100,COCO AR_small,COCO AR_medium,COCO AR_large,COCO mAP
agnostic,m3fd_full,mlp,8464,0.8046422422454601,0.7824139387156956,0.9142569297948503,0.688058588747138,0.8855928666440468,0.8534277919272935,0.7041033376437371,0.526,0.802,0.558,0.196,0.658,0.804,0.317,0.571,0.602,0.354,0.719,0.846,0.5261311001424883
agnostic,m3fd_full,FastKAN_32_3,17182,0.804333525439957,0.7921057108191215,0.9135138088419125,0.681346334232118,0.8822739095934738,0.8651418482902347,0.6916195408628812,0.525,0.802,0.556,0.199,0.655,0.801,0.315,0.569,0.598,0.335,0.717,0.843,0.5246019441247946
agnostic,m3fd_full,FastKAN_32_2,13084,0.8085348094099684,0.7862773631796509,0.9126202818703026,0.7143808904456594,0.8769477417342098,0.8630090251144322,0.6979735541155556,0.531,0.806,0.565,0.204,0.665,0.796,0.317,0.573,0.603,0.342,0.725,0.833,0.5309554953706599
agnostic,m3fd_full,FastKAN_64_3,8978,0.8035507251732538,0.7949834279392248,0.9125255081874952,0.6854646500248072,0.8825324847005097,0.8560161078545341,0.689782172332952,0.527,0.801,0.562,0.201,0.666,0.797,0.316,0.572,0.601,0.339,0.725,0.837,0.5272913961566668
agnostic,m3fd_full,FastKAN_64_2,6928,0.804254647087669,0.7807075260439045,0.9121800261726635,0.6960013215830312,0.8794464224620484,0.8610671719346463,0.6961254143297202,0.528,0.801,0.562,0.198,0.663,0.799,0.316,0.571,0.600,0.348,0.722,0.832,0.5283723063723467
agnostic,m3fd_full,EfficientKAN_32_3,32768,0.8121398935591523,0.7968723515484459,0.9140653393235239,0.7133099764693213,0.8859145863544022,0.8662932975238026,0.6963838101354183,0.532,0.810,0.559,0.206,0.663,0.808,0.320,0.576,0.603,0.348,0.724,0.844,0.5320691346940972
agnostic,m3fd_full,EfficientKAN_32_2,28672,0.8075378064834728,0.7960056519831501,0.9149249003750439,0.6939608307476747,0.8776406463165409,0.8584466751479638,0.704248134330463,0.530,0.804,0.566,0.203,0.664,0.804,0.316,0.571,0.602,0.342,0.722,0.844,0.5298799395407412
agnostic,m3fd_full,EfficientKAN_64_3,16384,0.8054709516873074,0.7867444687557162,0.9146078359615168,0.6945984189703516,0.8820582664740348,0.8561348302633414,0.6986818896988843,0.528,0.803,0.558,0.201,0.662,0.797,0.316,0.572,0.601,0.344,0.723,0.839,0.5280327081789569
agnostic,m3fd_full,EfficientKAN_64_2,14336,0.8072425776087088,0.7976381023690255,0.9145059269780034,0.6809953480597722,0.8822129885384303,0.8597963728512567,0.7083067268557647,0.527,0.804,0.555,0.202,0.660,0.798,0.315,0.571,0.601,0.347,0.720,0.840,0.5269670152722424
agnostic,m3fd_full,EfficientKAN_dual_32_3,16384,0.8052605871111626,0.7944153916194112,0.913439650872756,0.6808377063553984,0.8880021772208524,0.8588080908960365,0.6960605057025206,0.526,0.802,0.560,0.201,0.659,0.799,0.317,0.573,0.603,0.345,0.724,0.845,0.5258483642779698
